GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
8600000US76527,76527,ZCTA5 76527,1374,195,44154,7326,96.4,3.4,44212,8765,0,2.7,-,**,0,2.7,-,**,0.4,0.7,-,**,1.5,2.5,-,**,0.4,0.7,-,**,1.2,1.9,-,**,13.1,4.4,37500,21015,83.7,5.4,45395,12048,4.1,4.5,33969,956,39.5,10.9,40496,9363,37.9,8.4,81250,11536,18.4,5.5,35707,3581,1012,200,56346,28943,51.4,11.3,37255,18128,48.6,11.3,83889,21599,73.3,14.7,84083,21529,22.5,13.8,35564,6389,4.2,3.4,49519,45776,362,120,36379,10454,39,18.7,35813,3676,37.6,18,35882,4255,1.4,1.9,35417,44932,61,18.7,40022,40034,42.8,20.3,17386,20700,18.2,20.8,41447,1014,22.5,(X),(X),(X),17.8,(X),(X),(X),31.2,(X),(X),(X)
8600000US76530,76530,ZCTA5 76530,863,91,55398,6135,89.6,4.3,59866,5215,5.3,3.3,17500,25468,0,4.2,-,**,0,4.2,-,**,0,4.2,-,**,2.5,1.9,25667,7576,2.5,2.2,15000,27054,15.4,4.6,28958,9491,78.9,5.4,60938,4746,0.7,1.2,-,**,25,6,52143,18999,48.4,7.6,66250,9175,25.8,5.8,21635,10308,615,86,61473,5844,33.7,9.6,63750,23830,66.3,9.6,61161,10770,80,7.6,67903,11281,13.3,6,26667,31324,6.7,4.7,53393,19595,248,63,26591,10539,63.3,12.8,26420,10662,55.2,12.7,25481,13278,8.1,6.6,55833,113290,36.7,12.8,30625,41948,31,12.5,30208,37113,5.6,5.5,55313,66888,35.5,(X),(X),(X),41.3,(X),(X),(X),21,(X),(X),(X)
8600000US76537,76537,ZCTA5 76537,1248,152,56186,6721,89.7,4.6,56335,6148,1,1.2,30357,24509,0.6,0.8,70000,101046,2.1,3.1,-,**,0,3,-,**,2.1,1.7,57500,69864,4.6,4.6,80881,30372,21.3,7,59100,9238,71.2,7.1,55445,7935,1.8,2.1,81417,3822,41.9,7.6,56099,6296,40.1,7.1,62125,8838,16.2,4.5,39265,6962,1010,147,57417,5625,46.2,8.9,55329,11119,53.8,8.9,60594,8090,82,7.1,57371,9226,10.5,5.8,36607,28319,7.5,4.2,83276,10811,238,89,29091,10377,44.5,19.2,25921,11091,39.5,18.5,25132,16953,5,5.7,65357,40609,55.5,19.2,66000,56376,48.3,19.2,65917,72099,7.1,7.3,92750,131859,25.8,(X),(X),(X),26.7,(X),(X),(X),21.8,(X),(X),(X)
8600000US76574,76574,ZCTA5 76574,6560,342,47585,3499,86.3,1.9,49800,6068,8.9,1.6,34063,7497,0.1,0.2,-,**,0.7,1,49071,16493,0,0.6,-,**,3.6,1.3,49323,8635,0.3,0.3,28214,35183,26.5,3.4,41997,7037,63.5,3.2,54222,4771,3.4,1.5,48750,20738,32.1,3.1,52569,10313,41.3,3.5,59712,6507,23.1,2.2,34005,7813,4661,241,55523,3240,45.2,4.6,51960,6818,54.8,4.6,58830,6609,78.3,3.9,62418,5335,16.5,3.3,36786,9423,5.2,2.1,47768,10687,1899,279,25946,7685,52.1,6.9,19615,2861,49,7.1,19148,2568,3.2,2.4,44500,36686,47.9,6.9,37575,5871,41.4,6.5,34955,6525,6.4,4.2,58650,1058,25,(X),(X),(X),28.1,(X),(X),(X),17.3,(X),(X),(X)
8600000US76578,76578,ZCTA5 76578,609,94,65040,18469,92.3,4.5,66774,10126,3,2,11667,9092,0,6,-,**,0,6,-,**,0,6,-,**,1.3,1.5,49167,16587,3.4,3.6,27981,1958,10.3,4.8,48594,11611,83.3,5.8,68125,7932,1,2,-,**,33,8.9,78021,10955,47.5,8.2,57109,20401,18.6,5.5,34904,10600,470,96,72407,7981,51.3,12,79688,21197,48.7,12,54028,25650,94.9,3.4,73167,8238,3.6,2.9,24375,19114,1.5,1.9,74688,187455,139,50,27277,8723,58.3,16.9,26384,1353,52.5,18.1,26295,1301,5.8,6.7,70500,86769,41.7,16.9,46071,27670,41.7,16.9,46071,27670,0,23.3,-,**,25.1,(X),(X),(X),23.4,(X),(X),(X),30.9,(X),(X),(X)
8600000US78610,78610,ZCTA5 78610,7987,376,83536,5909,84.6,3.5,87481,6045,3.4,1.6,52717,26557,0.4,0.4,111058,99755,0.6,0.4,91932,27768,0.2,0.3,-,**,9.6,3,49599,13597,1.3,0.8,107250,40294,30.2,3.4,66781,11260,64.7,3.5,93210,6810,2.6,1.6,15588,16683,42.6,3.2,80819,7362,41.8,3.2,100571,13680,13,1.9,68625,14167,6349,356,89025,5560,52,4,83789,8140,48,4,93206,8893,82.1,3.6,99271,10077,11.8,2.9,50294,5300,6.1,2.5,65541,48648,1638,274,50308,12298,50.5,9.1,35344,7108,37.1,9.8,33326,3271,13.4,5.4,62188,33271,49.5,9.1,69870,24696,33.5,10.4,48409,31823,16.1,8.1,94882,51925,28.8,(X),(X),(X),29,(X),(X),(X),27.4,(X),(X),(X)
8600000US78617,78617,ZCTA5 78617,5414,375,43957,4355,64,5.2,46522,8412,8.8,2.4,56722,8489,2.1,1.4,15595,18132,1.6,1.2,58350,24812,0,0.7,-,**,20.7,4.8,36923,6394,2.8,1.9,56250,45545,58.6,4.5,38009,3984,29,4.9,56691,4653,3.5,2.1,38125,12249,50,5.8,47275,10357,35.1,5.5,48725,11944,11.4,3.2,40571,5313,4532,372,44360,4787,56.8,5.7,38727,6044,43.2,5.7,49913,9442,64.5,5.3,56890,6050,23.6,4.5,27130,17375,11.9,4,35930,5709,882,221,30313,15111,34.8,12.5,23875,9694,26.1,11.4,19191,4631,8.7,6.9,78854,98799,65.2,12.5,36198,12397,54.2,12.8,30313,16040,11,9.2,53899,14398,18.9,(X),(X),(X),18.3,(X),(X),(X),20.7,(X),(X),(X)
8600000US78626,78626,ZCTA5 78626,8612,335,58389,2283,86,2.7,59863,1910,6,1.7,40090,12371,0.2,0.3,-,**,0.6,0.5,51250,55619,0,0.4,-,**,5.8,2.1,42679,18026,1.4,0.8,57422,19299,29.1,3,49957,8452,64.1,3.1,62509,4011,5.7,1.5,40694,42999,42.7,3.1,58429,7981,35.4,3,64583,5345,16.1,1.9,38929,10234,5875,357,64660,5214,56.7,3.8,62566,8781,43.3,3.8,67654,7765,79.7,3.7,73865,5602,15.3,3.7,34122,7726,5,2.3,31707,18535,2737,315,39644,4200,46.4,6.8,31678,4688,39.9,6.8,30072,3093,6.5,3.2,69688,45556,53.6,6.8,42161,6421,45.6,7.2,38879,3328,8,4.7,74677,28109,24.1,(X),(X),(X),27.2,(X),(X),(X),16.5,(X),(X),(X)
8600000US78628,78628,ZCTA5 78628,8814,295,82071,5134,92.7,1.8,82923,4878,2.3,1.2,89063,95821,0,0.4,-,**,1.1,0.5,121023,85154,0,0.4,-,**,2.6,1.3,52695,41346,1.2,0.7,68529,25072,9.4,2,63052,19515,86,2.2,85678,5415,2.4,1.3,33171,6485,23.2,2.6,90757,11186,46.1,2.8,94228,7427,28.3,2.3,63817,6492,6560,282,95941,3485,38.3,3.9,95781,10878,61.7,3.9,95982,3401,85.5,3.3,104247,6216,9.1,2.4,42261,5932,5.4,2.3,42857,28246,2254,315,42205,6048,61.1,6.5,40886,6345,52.4,6.5,37063,9112,8.7,4.9,49659,24476,38.9,6.5,50100,11685,36.8,6.4,46989,14687,2.1,2.1,95815,27905,17.9,(X),(X),(X),18.4,(X),(X),(X),16.3,(X),(X),(X)
8600000US78633,78633,ZCTA5 78633,8564,363,75028,4987,97.8,1.2,73982,5793,0.4,0.5,183043,63048,0.5,0.5,175063,197599,0.1,0.2,-,**,0,0.4,-,**,0.9,0.8,108560,8902,0.2,0.3,-,**,4.4,1.7,78942,15164,94.3,1.9,74115,5590,0.1,0.2,-,**,7.7,1.7,106563,24237,28.7,3.9,95616,14083,63.5,3.5,59431,7145,6419,335,84766,8449,15.2,3.1,129091,22940,84.8,3.1,81403,4544,95.6,2.4,84425,7239,2.9,1.8,57286,35898,1.4,1.6,193804,845,2145,304,39395,6992,71.5,8.3,38858,6214,69.4,8.5,38253,7290,2.1,2,96094,118552,28.5,8.3,53636,39205,22.8,8.4,33056,31947,5.8,3.4,124107,44773,20.3,(X),(X),(X),18.2,(X),(X),(X),25.5,(X),(X),(X)
